cod_sys,nm_sys,Codigo,Descricao,Categoria,Categoria_Aux,Classe,Especialidade,Procedimento,Patologia
1,TASY,199675,"AIR OPTIX MULTIFOCAL 8,60 +1,75 HI",LC,LC,LC,LC,LC,Eletivos
1,TASY,208679,"AIR OPTIX MULTIFOCAL 8,60 +2,00 HI",LC,LC,LC,LC,LC,Eletivos
1,TASY,216676,"AIR OPTIX MULTIFOCAL 8,60 +2,75 MED",LC,LC,LC,LC,LC,LC
1,TASY,209330,"Air Optix Multifocal 8,60 +3,00 MED",LC,LC,LC,LC,LC,LC
1,TASY,199405,"AIR OPTIX NIGHT & DAY AQUA 8,6 -0,50",Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,199411,"AIR OPTIX NIGHT & DAY AQUA 8,6 -2,00",LC,LC,LC,LC,LC,Eletivos
1,TASY,213828,"Air Optix Plus HidraGlyde 8,60 +1,00",LC,LC,LC,LC,LC,LC
1,TASY,212023,"AIR OPTIX PLUS HIDRAGLYDE 8,60 +2,75",LC,LC,LC,LC,LC,LC
1,TASY,211939,"Air Optix Plus HidraGlyde 8,60 +3,00",LC,LC,LC,LC,LC,LC
1,TASY,211510,"Air Optix Plus HidraGlyde 8,60 +3,75",LC,LC,LC,LC,LC,LC
1,TASY,211633,"Air Optix Plus HidraGlyde 8,60 -0,75",LC,LC,LC,LC,LC,LC
1,TASY,211920,"AIR OPTIX PLUS HIDRAGLYDE 8,60 -1,25",LC,LC,LC,LC,LC,LC
1,TASY,211916,"AIR OPTIX PLUS HIDRAGLYDE 8,60 -1,50",LC,LC,LC,LC,LC,LC
1,TASY,211365,"AIR OPTIX PLUS HIDRAGLYDE 8,60 -1,75",LC,LC,LC,LC,LC,LC
1,TASY,211940,"AIR OPTIX PLUS HIDRAGLYDE 8,60 -2,00",LC,LC,LC,LC,LC,LC
1,TASY,212249,"AIR OPTIX PLUS HIDRAGLYDE 8,60 -2,25",LC,LC,LC,LC,LC,LC
1,TASY,50201034,AK - COMPLEMENTO PARA LASIK DE CONVÊNIO - MONOCULAR,Cirurgias,Procedimento,Refrativa,Refrativa,LASIK,Eletivos
1,TASY,50101028,AK SOB DISCO (MONOCULAR),Cirurgias,Procedimento,Refrativa,Refrativa,LASIK,Eletivos
1,TASY,86097,ÁLCOOL 70% 100ML ALMOTOLIA,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,76051,Álcool em Sache,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,84949,ÁLCOOL GEL,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74465,Algodão Bola Assepsia,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,77315,ALGODÃO ROLO 500G,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,60026600,"ALUGUEL / TAXA DE ENDOLASER, POR USO",Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,60027363,"ALUGUEL / TAXA DE MICROCÓSPIO CIRÚRGICO DE FIBRA ÓTICA, POR USO",Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,60027428,"Aluguel / Taxa De Microscópio Cirúrgico, Por Uso                                                                                                                                                                                                ",Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,60027452,"ALUGUEL / TAXA DE MONITOR DE VÍDEO, POR USO                                                                                                                                                                                                     ",Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,60027886,"Aluguel / Taxa De Retinógrafo, Por Uso                                                                                                                                                                                                          ",Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,60028297,"Aluguel / Taxa De Vitrectomo, Por Uso                                                                                                                                                                                                           ",Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,60028300,"Aluguel / Taxa Do Vitreógrafo, Por Uso                                                                                                                                                                                                          ",Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,60028319,"Aluguel / Taxa Do Yag Laser, Por Uso                                                                                                                                                                                                            ",Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,60024909,Aluguel Taxa De Aparelho Eletrocriocauterio Por Uso,Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,60026553,ALUGUEL TAXA DE ELETROCARDIOGRAFO POR USO,Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,60024755,"Aluguel/Taxa De Aparelho De Laser, Por Uso                                                                                                                                                                                                      ",Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,60025182,"Aluguel/Taxa De Aspirador De Catarata / Facoemulsificador, Por Uso                                                                                                                                                                              ",Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,74300,AMPLICTIL - C1 25MG 5ML AMP,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,40103030,Análise Computadorizada Do Segmento Anterior - Monocular,Exames,Procedimento,Exames,Exames,Analise Computadorizada do segmento anterior,Eletivos
1,TASY,76459,ANEL 340 200 SI6,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,77210,ANEL COREANO MEDIPHACOS 340X300,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74062,Anel De Ferrara Amarelo 320 250,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74040,ANEL DE FERRARA BRANCO 140  200 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74042,ANEL DE FERRARA BRANCO 140 300 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74043,Anel De Ferrara Branco 160 150 Micras,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74044,ANEL DE FERRARA BRANCO 160 200,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74045,ANEL DE FERRARA BRANCO 160 250 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,76214,Anel De Ferrara Branco 160 300 Micras,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74046,Anel De Ferrara Branco 210 150 Micras,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74047,Anel De Ferrara Branco 210 200 Micras,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74049,ANEL DE FERRARA BRANCO 210 250 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74063,ANEL DE FERRARA BRANCO 320 200 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74064,ANEL DE FERRARA BRANCO 320-150,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74048,ANEL DE FERRARA BRANCO 90 200 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74032,ANEL DE FERRARA BRANCO 90-150,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74052,Anel De Ferrara Si5 340 200 ,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74027,ANEL FERRARA 120 150 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74015,ANEL FERRARA 120 200 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74019,ANEL FERRARA 160 200 MICRAS MEDIPHACOS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74023,ANEL FERRARA 210 200 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74024,ANEL FERRARA 210 250 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74050,Anel Ferrara 325 200 Micras,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74053,Anel Ferrara 340 250 Micras,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74035,Anel Ferrara Branco 120 150 Micras,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74036,ANEL FERRARA BRANCO 120 200 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74037,ANEL FERRARA BRANCO 120 250 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74039,ANEL FERRARA BRANCO 140 150 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74041,ANEL FERRARA BRANCO 140 250 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,84374,Anel Intraestromal Keraring Si5 120/200Mm,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74020,Anel Intraestromal Keraring Si5 160/250Mm,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,84394,Anel Intraestromal Keraring Si5 210/150Mm,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,84401,Anel Intraestromal Keraring SI6 210/200mm,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,50101196,ANEL INTRA-ESTROMAL LASER - COMPLEMENTO,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74054,"ANEL KERARING ASSIMÉTRICO ANTI HORÁRIO """"C"""" AS5 160 150/250MM",Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74056,"ANEL KERARING ASSIMÉTRICO ANTI HORÁRIO """"C"""" AS5 160 200/300MM",Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,76215,ANEL KERARING ASSIMÉTRICO AS5 330 150/250MM,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74055,"ANEL KERARING ASSIMÉTRICO SENTIDO HORÁRIO """"W"""" AS5 160 150/250MM",Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74058,"Anel Keraring Assimétrico Sentido Horário ""W"" AS5 160 200/300mm",Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74016,Anel Keraring SI5-120 250 Micras,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74018,ANEL KERARING SI5-160 150 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74051,Anel Keraring Si5-325 250 Micras,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,76700,ANEL KERARING SI5-90 150 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74025,Anel Keraring Si5-90 200 Micras,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,76455,ANEL KERARING SI6-150 250 MICRAS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74028,ANEL MALYUGIN - DILATADOR DE IRIS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,76558,Anestalcon 5mgml Sol Oft Fr 5ml Alcon,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,50101240,ANESTESIA TIPO 1,Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,50101241,ANESTESIA TIPO 2,Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,50101242,ANESTESIA TIPO 3,Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,50101243,ANESTESIA TIPO 4,Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,50101244,Anestesia Tipo 5,Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,50101245,ANESTESIA TIPO 6,Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,76606,Anestésico Colírio Fr 10ml Allergan,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,41301013,Angiofluoresceinografia - Monocular,Exames,Procedimento,Exames,Exames,Angiofluoresceinografia,Eletivos
1,TASY,41301021,ANGIOGRAFIA COM INDOCIANINA VERDE - MONOCULAR,Exames,Procedimento,Exames,Exames,Angiofluoresceinografia,Eletivos
1,TASY,74327,ANTAK 50MG/ML 2ML AMP,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,50101018,Aplicacao De Manitol Sem Anestesia Endovenosa,Cirurgias,Procedimento,Outras Cirurgias,Glaucoma,Aplicação de Manitol,Cronico
1,TASY,64602699,Aplicação Fraxx ( 2 aplicações) binocular,Cirurgias,Procedimento,Plastica,Plastica Ocular,Aplicação Fraxx,Eletivos
1,TASY,50101016,APLICACÃO FRAXX (1 APLICACÕES) BINOCULAR,Cirurgias,Procedimento,Plastica,Plastica Ocular,Aplicação Fraxx,Eletivos
1,TASY,50101002,Aplicação intravitrea de Avastin,Cirurgias,Procedimento,Terapia Antiangiogênica,Terapia Antiangiogênica,Avastin,Cronico
1,TASY,60001402,"AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO                                                                                                                    ",Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,60034122,Ar Comprimido Por Hora,Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,99180111,Ar Comprimido Sob Cateter - Hospital Tipo C,Taxas,Taxas,Taxas,Taxas,Taxas,Taxas
1,TASY,74352,ATROPINA 0.25MG 1ML AMP,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74328,ATROPINA 0.5MG/ML 1ML,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,76552,Atropina Colírio 1% fr 5ml Allergan,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,15010086,AUTOFLUORESCÊNCIA,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,15010002,Autorefração,Exames,Procedimento,Exames,Exames,Autorefração,Eletivos
1,TASY,30303010,Autotransplante Conjuntival,Cirurgias,Associada,Outras Cirurgias,Córnea,Pterígio,Eletivos
1,TASY,50101216,AUTO-TRANSPLANTE DE CÓRNEA ROTACIONAL LASER,Cirurgias,Procedimento,Outras Cirurgias,Córnea,Transplante De Córnea,Eletivos
1,TASY,41301030,AVALIAÃ§Ã£O Ã“RBITO-PALPEBRAL-EXOFTALMOMETRIA - BINOCULAR,Exames,Procedimento,Exames,Exames,Exoftalmometria,Eletivos
1,TASY,50010336,Avaliação de Vias Lacrimais (ou Estudo da Película Lacrimal) - Monocular,Exames,Procedimento,Exames,Exames,Estudo de Pelicula Lacrimal,Eletivos
1,TASY,41301170,Avaliação de vias lacrimais (Teste de Schirmer) - monocular,Exames,Procedimento,Exames,Exames,Teste de Schirmer,Eletivos
1,TASY,85115,AVASTIN 0.1ML 25MG/ML AMPOLA,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,72915,Avastin 0.2ml ampola,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,76094,Avental Avulso GG em SMS,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,77610,AVENTAL SMS STANDART TAM XG - TAM. 1.40X1.75,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,86076,AZUL BRILHANTE OPHT-BLUE,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,73324,Azul de trypan 0.1% 1ml,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,11716294,Bestfix Kmax - Dk 90,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74359,Bextra 40mg Fr Amp,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,30301025,BiÃ³psia De PÃ¡lpebra,Cirurgias,Procedimento,Outras Cirurgias,Pequenos Procedimentos,Biopsia de Palpebra,Eletivos
1,TASY,15010012,BIO MICROSCOPIA ULTRASSÔNICA,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,50102003,Bioestimulaçao Do Colágeno,Cirurgias,Procedimento,Outras Cirurgias,Pequenos Procedimentos,Bioestimulaçao Do Colágeno,Eletivos
1,TASY,50102029,Bioestimulaçao Do Colágeno Com Radiesse,Cirurgias,Procedimento,Outras Cirurgias,Pequenos Procedimentos,Bioestimulaçao Do Colágeno,Eletivos
1,TASY,76797,Biofenac CLR 75mg,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,199229,"BIOFINITY 8,6 +4,25",LC,LC,LC,LC,LC,Eletivos
1,TASY,199231,"BIOFINITY 8,6 +4,75",LC,LC,LC,LC,LC,Eletivos
1,TASY,199186,"BIOFINITY 8,6 -1,25",LC,LC,LC,LC,LC,Eletivos
1,TASY,199188,"BIOFINITY 8,6 -1,75",LC,LC,LC,LC,LC,Eletivos
1,TASY,199241,"BIOFINITY 8,6 -10,50",LC,LC,LC,LC,LC,Eletivos
1,TASY,199244,"BIOFINITY 8,6 -12,00",LC,LC,LC,LC,LC,Eletivos
1,TASY,199189,"BIOFINITY 8,6 -2,00",LC,LC,LC,LC,LC,Eletivos
1,TASY,199191,"BIOFINITY 8,6 -2,50",LC,LC,LC,LC,LC,Eletivos
1,TASY,199193,"BIOFINITY 8,6 -3,00",LC,LC,LC,LC,LC,Eletivos
1,TASY,199194,"BIOFINITY 8,6 -3,25",LC,LC,LC,LC,LC,Eletivos
1,TASY,199195,"BIOFINITY 8,6 -3,50",LC,LC,LC,LC,LC,Eletivos
1,TASY,199196,"BIOFINITY 8,6 -3,75",LC,LC,LC,LC,LC,Eletivos
1,TASY,199197,"Biofinity 8,6 -4,00",LC,LC,LC,LC,LC,LC
1,TASY,199207,"BIOFINITY 8,6 -7,00",LC,LC,LC,LC,LC,Eletivos
1,TASY,217520,"BIOFINITY ENERGYS 8,60 +3,00",LC,LC,LC,LC,LC,LC
1,TASY,200578,"BIOFINITY TORICA 8,70 +7,50 -1,75 X 180°",LC,LC,LC,LC,LC,Eletivos
1,TASY,209293,"BIOFINITY TORICA 8,70 +8,00 -2,25 X 180°",LC,LC,LC,LC,LC,Eletivos
1,TASY,207558,"BIOFINITY TORICA 8,70 -0,75 -1,75 X 30°",LC,LC,LC,LC,LC,Eletivos
1,TASY,216902,"Biofinity Torica 8,70 -1,50 -0,75 x 170°",LC,LC,LC,LC,LC,LC
1,TASY,208658,"Biofinity Torica 8,70 -2,00 -1,25 x 170°",LC,LC,LC,LC,LC,Eletivos
1,TASY,209259,"BIOFINITY TORICA 8,70 -2,75 -1,25 X 180°",LC,LC,LC,LC,LC,Eletivos
1,TASY,217540,"BIOFINITY TORICA 8,70 -3,00 -0,75 X 10°",LC,LC,LC,LC,LC,LC
1,TASY,217822,"BIOFINITY TORICA 8,70 -3,00 -2,25 X 180°",LC,LC,LC,LC,LC,LC
1,TASY,209017,"BIOFINITY TORICA 8,70 -5,00 -1,25 X 180°",LC,LC,LC,LC,LC,Eletivos
1,TASY,218308,"BIOFINITY XR TORICA 8,70 0,00 -3,25 X180°",LC,LC,LC,LC,LC,LC
1,TASY,199146,"BIOMEDICS EVOLUTION 8,6 - 6,00",LC,LC,LC,LC,LC,LC
1,TASY,15010085,BIOMETRIA INTERFERROMETRIA OPTICA - IOL MASTER,Exames,Procedimento,Exames,Exames,Biometria,Eletivos
1,TASY,41501012,Biometria Ultra-Sônica - Monocular,Exames,Procedimento,Exames,Exames,Biometria,Eletivos
1,TASY,50010190,Biometria Ultrassônica,Exames,Procedimento,Exames,Exames,Biometria,Eletivos
